G3-1,G_Rx17P,G_Rx17Px,LA23_P
G3-2,G_Rx17N,G_Rx17Nx,LA23_N
G3-3,G_Tx17Px,G_Tx17P,HB05_P
G3-4,G_Tx17Nx,G_Tx17N,HB05_N
G3-5,G_Rx18P,G_Rx18Px,LA22_P
G3-6,G_Rx18N,G_Rx18Nx,LA22_N
G3-7,G_Tx18Px,G_Tx18P,HB01_P
G3-8,G_Tx18Nx,G_Tx18N,HB01_N
G3-9,G_Rx19P,G_Rx19Px,HB04_P
G3-10,G_Rx19N,G_Rx19Nx,HB04_N
G3-11,G_Tx19Px,G_Tx19P,LA21_P
G3-12,G_Tx19Nx,G_Tx19N,LA21_N
G3-13,G_Rx20P,G_Rx20Px,LA27_P
G3-14,G_Rx20N,G_Rx20Nx,LA27_N
G3-15,G_Tx20Px,G_Tx20P,LA26_P
G3-16,G_Tx20Nx,G_Tx20N,LA26_N
G3-17,G_Rx21P,G_Rx21Px,HB09_P
G3-18,G_Rx21N,G_Rx21Nx,HB09_N
G3-19,G_Tx21Px,G_Tx21P,LA25_P
G3-20,G_Tx21Nx,G_Tx21N,LA25_N
G3-21,G_Rx22P,G_Rx22Px,HB07_P
G3-22,G_Rx22N,G_Rx22Nx,HB07_N
G3-23,G_Tx22Px,G_Tx22P,HB08_P
G3-24,G_Tx22Nx,G_Tx22N,HB08_N
G3-25,G_Rx23P,G_Rx23Px,LA24_P
G3-26,G_Rx23N,G_Rx23Nx,LA24_N
G3-27,G_Tx23Px,G_Tx23P,HB13_P
G3-28,G_Tx23Nx,G_Tx23N,HB12_N
G3-29,G_Rx24P,G_Rx24Px,LA29_P
G3-30,G_Rx24N,G_Rx24Nx,LA29_N
G3-31,G_Tx24Px,G_Tx24P,HB11_P
G3-32,G_Tx24Nx,G_Tx24N,HB11_N
